@5780 ns block #0 | SAD : 7814
@11570 ns block #1 | SAD : 7416
@17360 ns block #2 | SAD : 6614
@23150 ns block #3 | SAD : 6938
@28940 ns block #4 | SAD : 8404
@34730 ns block #5 | SAD : 6406
@40520 ns block #6 | SAD : 7721
@46310 ns block #7 | SAD : 7256
@52100 ns block #8 | SAD : 7610
@57890 ns block #9 | SAD : 7183
@63680 ns block #10 | SAD : 7333
@69470 ns block #11 | SAD : 7109
@75260 ns block #12 | SAD : 7438
@81050 ns block #13 | SAD : 9408
@86840 ns block #14 | SAD : 9407
@92630 ns block #15 | SAD : 9226
@98420 ns block #16 | SAD : 8331
@104210 ns block #17 | SAD : 9076
@110 us block #18 | SAD : 8226
@115790 ns block #19 | SAD : 8640
@121580 ns block #20 | SAD : 9377
@127370 ns block #21 | SAD : 9522
@133160 ns block #22 | SAD : 8923
@138950 ns block #23 | SAD : 9273
@144740 ns block #24 | SAD : 9011
@150530 ns block #25 | SAD : 8250
@156320 ns block #26 | SAD : 7821
@162110 ns block #27 | SAD : 9263
@167900 ns block #28 | SAD : 8773
@173690 ns block #29 | SAD : 8755
@179480 ns block #30 | SAD : 8830
@185270 ns block #31 | SAD : 8864
@191060 ns block #32 | SAD : 8755
@196850 ns block #33 | SAD : 8713
@202640 ns block #34 | SAD : 8059
@208430 ns block #35 | SAD : 8463
@214220 ns block #36 | SAD : 8192
@220010 ns block #37 | SAD : 8649
@225800 ns block #38 | SAD : 9452
@231590 ns block #39 | SAD : 8909
@237380 ns block #40 | SAD : 8736
@243170 ns block #41 | SAD : 7862
@248960 ns block #42 | SAD : 8209
@254750 ns block #43 | SAD : 9521
@260540 ns block #44 | SAD : 9084
@266330 ns block #45 | SAD : 7810
@272120 ns block #46 | SAD : 8831
@277910 ns block #47 | SAD : 8120
@283700 ns block #48 | SAD : 8099
@289490 ns block #49 | SAD : 9117
@295280 ns block #50 | SAD : 9502
@301070 ns block #51 | SAD : 8439
@306860 ns block #52 | SAD : 8886
@312650 ns block #53 | SAD : 9804
@318440 ns block #54 | SAD : 7447
@324230 ns block #55 | SAD : 8120
@330020 ns block #56 | SAD : 9072
@335810 ns block #57 | SAD : 9093
@341600 ns block #58 | SAD : 9158
@347390 ns block #59 | SAD : 9213
@353180 ns block #60 | SAD : 10189
@358970 ns block #61 | SAD : 8827
@364760 ns block #62 | SAD : 9054
@370550 ns block #63 | SAD : 9353
